camera_id,captured_at,total_vehicles,car_count,motorcycle_count,bus_count,truck_count,bicycle_count,average_confidence,max_confidence,image_path,cnn_count,count_diff,count_abs_error,occ_px,occ_gnd,road_area_frac,residual_occupancy,pct_cam_hour,label,measurable
2701,2025-10-15T13:42:50+00:00,18,12,0,0,6,0,0.474166,0.895853,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T134250Z_2701_2139_20251015134048_00CDD9.jpg,11.24,-6.76,6.76,0.115517,159.24709524,0.20222,0.49307,84.6,moderate,True
2701,2025-10-15T13:47:50+00:00,14,14,0,0,0,0,0.685453,0.815112,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T134750Z_2701_2144_20251015134545_F9D10A.jpg,10.26,-3.74,3.74,0.031711,83.54816456,0.20222,0.46462,16.9,free,True
2701,2025-10-15T13:52:50+00:00,17,15,0,1,1,0,0.552817,0.899785,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T135250Z_2701_2149_20251015135047_D6987A.jpg,10.85,-6.15,6.15,0.059889,100.37627224,0.20222,0.51075,53.8,moderate,True
2701,2025-10-15T13:57:50+00:00,16,15,0,1,0,0,0.541678,0.791142,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T135750Z_2701_2153_20251015135546_CFEA00.jpg,11.04,-4.96,4.96,0.063974,73.75210261,0.20222,0.48461,56.9,moderate,True
2701,2025-10-15T14:02:50+00:00,26,25,0,1,0,0,0.449627,0.694502,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T140250Z_2701_2158_20251015140046_7760F6.jpg,13.47,-12.53,12.53,0.098733,125.02183169,0.20222,0.40484,53.6,moderate,True
2701,2025-10-15T14:07:50+00:00,34,28,0,4,2,0,0.478519,0.804552,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T140750Z_2701_2203_20251015140547_32223F.jpg,14.72,-19.28,19.28,0.179754,221.21242614,0.20222,0.40489,89.3,congested,True
2701,2025-10-15T14:12:50+00:00,45,44,0,1,0,0,0.463511,0.767465,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T141250Z_2701_2208_20251015141046_B72CB2.jpg,14.61,-30.39,30.39,0.168445,189.41456667,0.20222,0.40446,85.7,congested,True
2701,2025-10-15T14:17:50+00:00,39,35,0,1,3,0,0.467236,0.85872,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T141750Z_2701_2214_20251015141545_5D08AB.jpg,15.5,-23.5,23.5,0.192205,210.31363267,0.20222,0.41403,94.0,congested,True
2701,2025-10-15T14:22:50+00:00,32,28,0,2,2,0,0.451331,0.806617,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T142250Z_2701_2218_20251015142045_D6D4D5.jpg,14.98,-17.02,17.02,0.141084,201.13042341,0.20222,0.3939,72.6,moderate,True
2701,2025-10-15T14:27:50+00:00,37,32,0,3,2,0,0.423561,0.687982,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T142750Z_2701_2223_20251015142546_01689C.jpg,15.43,-21.57,21.57,0.172087,211.23286305,0.20222,0.43339,86.9,congested,True
2701,2025-10-15T14:32:50+00:00,32,31,0,1,0,0,0.485769,0.86071,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T143250Z_2701_2228_20251015143046_9D025E.jpg,15.57,-16.43,16.43,0.130386,134.29939587,0.20222,0.40048,66.7,moderate,True
2701,2025-10-15T14:37:50+00:00,42,38,0,4,0,0,0.487163,0.880906,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T143750Z_2701_2233_20251015143547_46DF4F.jpg,15.3,-26.7,26.7,0.192634,256.12479209,0.20222,0.40071,95.2,congested,True
2701,2025-10-15T14:42:50+00:00,43,41,0,2,0,0,0.475999,0.824815,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T144250Z_2701_2238_20251015144046_3EA99F.jpg,15.14,-27.86,27.86,0.164701,191.4958037,0.20222,0.37887,81.0,moderate,True
2701,2025-10-15T14:47:50+00:00,33,33,0,0,0,0,0.494612,0.727727,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T144750Z_2701_2243_20251015144547_FEF3D3.jpg,14.59,-18.41,18.41,0.11514,135.77179988,0.20222,0.39336,63.1,moderate,True
2701,2025-10-15T14:52:50+00:00,42,36,0,1,5,0,0.484568,0.849121,C:\Users\75643\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T145250Z_2701_2248_20251015145048_B3CF5B.jpg,14.39,-27.61,27.61,0.15919,200.97846194,0.20222,0.39274,77.4,moderate,True
