camera_id,image_path,captured_at,hour_sgt,road_px,road_area_frac,n_yolo,n_yolo_in_road,n_cnn_in_road,cnn_count,covered_px,occ_px,occ_gnd,median_box_h_px,median_confidence,residual_occupancy,measurable,meas_reasons,yolo_count,pct_cam_hour,label,label_source
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T134250Z_2701_2139_20251015134048_00CDD9.jpg,2025-10-15T13:42:50+00:00,21,419324,0.20222,18,18,0,11.24,48439,0.115517,159.24709524,42.0,0.4048,0.49307,True,,18,84.6,moderate,camera_hour
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T134750Z_2701_2144_20251015134545_F9D10A.jpg,2025-10-15T13:47:50+00:00,21,419324,0.20222,14,14,0,10.26,13297,0.031711,83.54816456,23.25,0.7132,0.46462,True,,14,16.9,free,camera_hour
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T135250Z_2701_2149_20251015135047_D6987A.jpg,2025-10-15T13:52:50+00:00,21,419324,0.20222,17,17,0,10.85,25113,0.059889,100.37627224,25.02,0.5595,0.51075,True,,17,53.8,moderate,camera_hour
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T135750Z_2701_2153_20251015135546_CFEA00.jpg,2025-10-15T13:57:50+00:00,21,419324,0.20222,16,16,0,11.04,26826,0.063974,73.75210261,31.96,0.5981,0.48461,True,,16,56.9,moderate,camera_hour
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T140250Z_2701_2158_20251015140046_7760F6.jpg,2025-10-15T14:02:50+00:00,22,419324,0.20222,26,26,0,13.47,41401,0.098733,125.02183169,32.76,0.4367,0.40484,True,,26,53.6,moderate,camera_hour
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T140750Z_2701_2203_20251015140547_32223F.jpg,2025-10-15T14:07:50+00:00,22,419324,0.20222,34,34,0,14.72,75375,0.179754,221.21242614,34.93,0.4238,0.40489,True,,34,89.3,congested,camera_hour
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T141250Z_2701_2208_20251015141046_B72CB2.jpg,2025-10-15T14:12:50+00:00,22,419324,0.20222,45,45,0,14.61,70633,0.168445,189.41456667,30.4,0.3986,0.40446,True,,45,85.7,congested,camera_hour
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T141750Z_2701_2214_20251015141545_5D08AB.jpg,2025-10-15T14:17:50+00:00,22,419324,0.20222,39,39,0,15.5,80596,0.192205,210.31363267,32.45,0.4483,0.41403,True,,39,94.0,congested,camera_hour
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T142250Z_2701_2218_20251015142045_D6D4D5.jpg,2025-10-15T14:22:50+00:00,22,419324,0.20222,32,32,0,14.98,59160,0.141084,201.13042341,32.58,0.4307,0.3939,True,,32,72.6,moderate,camera_hour
2701,C:\Users\Setekh\Desktop\ISY5002-Project\datasets\raw-old\2701\20251015T142750Z_2701_2223_20251015142546_01689C.jpg,2025-10-15T14:27:50+00:00,22,419324,0.20222,37,37,0,15.43,72160,0.172087,211.23286305,34.32,0.4077,0.43339,True,,37,86.9,congested,camera_hour
