camera_id,model,horizon_minutes,MAE,MSE,RMSE,R2
2701,persistence,5,4.834211,60.165789,7.756661,0.686659
2701,persistence,15,6.152632,89.278947,9.448754,0.534541
2701,persistence,60,9.65,181.139474,13.458807,0.057689
2701,seasonal_naive,5,10.057895,193.536842,13.911752,-0.007932
2701,seasonal_naive,15,10.042105,193.410526,13.907211,-0.008353
2701,seasonal_naive,60,10.007895,193.176316,13.898788,-0.004929
2702,persistence,5,4.021053,37.263158,6.104356,0.6977
2702,persistence,15,4.85,54.528947,7.384372,0.556758
2702,persistence,60,7.163158,101.0,10.049876,0.175061
2702,seasonal_naive,5,7.439474,98.634211,9.931476,0.199823
2702,seasonal_naive,15,7.431579,98.463158,9.92286,0.199635
2702,seasonal_naive,60,7.486842,99.15,9.957409,0.190171
2704,persistence,5,2.771053,17.881579,4.228662,0.321575
2704,persistence,15,2.952632,18.973684,4.355879,0.280635
2704,persistence,60,3.884211,29.542105,5.435265,-0.131925
2704,seasonal_naive,5,4.042105,34.073684,5.837267,-0.292752
2704,seasonal_naive,15,4.076316,34.413158,5.866273,-0.304735
2704,seasonal_naive,60,4.115789,34.626316,5.884413,-0.326729
2706,persistence,5,3.263158,23.931579,4.891991,0.818636
2706,persistence,15,3.560526,30.339474,5.508128,0.768485
2706,persistence,60,5.736842,73.221053,8.55693,0.430183
2706,seasonal_naive,5,5.921053,69.6,8.342661,0.472539
2706,seasonal_naive,15,5.913158,69.581579,8.341557,0.469035
2706,seasonal_naive,60,5.973684,70.7,8.408329,0.449802
4703,persistence,5,3.471053,28.886842,5.374648,0.680388
4703,persistence,15,4.065789,44.107895,6.641377,0.511176
4703,persistence,60,6.531579,105.815789,10.28668,-0.174793
4703,seasonal_naive,5,6.8,104.726316,10.233588,-0.15872
4703,seasonal_naive,15,6.823684,104.939474,10.243997,-0.162988
4703,seasonal_naive,60,6.957895,106.452632,10.317588,-0.181863
4707,persistence,5,3.002632,19.834211,4.453562,0.434378
4707,persistence,15,3.260526,23.313158,4.82837,0.336823
4707,persistence,60,4.102632,32.892105,5.735164,0.07091
4707,seasonal_naive,5,4.507895,37.786842,6.1471,-0.077587
4707,seasonal_naive,15,4.539474,38.144737,6.176143,-0.085082
4707,seasonal_naive,60,4.515789,37.878947,6.154588,-0.069951
4712,persistence,5,1.902632,11.134211,3.336796,0.389424
4712,persistence,15,2.15,12.734211,3.568503,0.299496
4712,persistence,60,2.992105,22.986842,4.79446,-0.262583
4712,seasonal_naive,5,2.628947,20.139474,4.487702,-0.104404
4712,seasonal_naive,15,2.644737,20.192105,4.493563,-0.11076
4712,seasonal_naive,60,2.660526,20.318421,4.507596,-0.116016
4713,persistence,5,2.728947,18.571053,4.309414,0.646132
4713,persistence,15,3.168421,22.921053,4.787594,0.565859
4713,persistence,60,4.784211,48.894737,6.992477,0.089014
4713,seasonal_naive,5,4.842105,46.447368,6.815231,0.114953
4713,seasonal_naive,15,4.871053,46.818421,6.842399,0.113225
4713,seasonal_naive,60,4.939474,48.086842,6.934468,0.104066
