run_id,model,horizon,camera_index,mae
run_20260913_212015,FNN,5min,1,5.312292
run_20260913_212015,FNN,5min,2,4.172984
run_20260913_212015,FNN,5min,3,2.703175
run_20260913_212015,FNN,5min,4,3.419733
run_20260913_212015,FNN,5min,5,3.480143
run_20260913_212015,FNN,5min,6,3.036469
run_20260913_212015,FNN,5min,7,2.338513
run_20260913_212015,FNN,5min,8,2.968015
run_20260913_212015,FNN,15min,1,6.353262
run_20260913_212015,FNN,15min,2,4.702313
run_20260913_212015,FNN,15min,3,2.679289
run_20260913_212015,FNN,15min,4,3.691501
run_20260913_212015,FNN,15min,5,3.961372
run_20260913_212015,FNN,15min,6,3.026966
run_20260913_212015,FNN,15min,7,2.234294
run_20260913_212015,FNN,15min,8,3.176795
run_20260913_212015,FNN,60min,1,9.105654
run_20260913_212015,FNN,60min,2,6.748264
run_20260913_212015,FNN,60min,3,3.561426
run_20260913_212015,FNN,60min,4,5.895169
run_20260913_212015,FNN,60min,5,6.285912
run_20260913_212015,FNN,60min,6,4.041661
run_20260913_212015,FNN,60min,7,3.094414
run_20260913_212015,FNN,60min,8,4.898
run_20260913_212015,GRU,5min,1,7.12897
run_20260913_212015,GRU,5min,2,5.905187
run_20260913_212015,GRU,5min,3,3.160188
run_20260913_212015,GRU,5min,4,3.252034
run_20260913_212015,GRU,5min,5,4.705981
run_20260913_212015,GRU,5min,6,3.836662
run_20260913_212015,GRU,5min,7,2.532269
run_20260913_212015,GRU,5min,8,4.584965
run_20260913_212015,GRU,15min,1,8.477733
run_20260913_212015,GRU,15min,2,5.964537
run_20260913_212015,GRU,15min,3,3.406455
run_20260913_212015,GRU,15min,4,3.403204
run_20260913_212015,GRU,15min,5,5.274526
run_20260913_212015,GRU,15min,6,3.980579
run_20260913_212015,GRU,15min,7,2.581051
run_20260913_212015,GRU,15min,8,5.197531
run_20260913_212015,GRU,60min,1,11.19652
run_20260913_212015,GRU,60min,2,6.365573
run_20260913_212015,GRU,60min,3,4.160679
run_20260913_212015,GRU,60min,4,4.125977
run_20260913_212015,GRU,60min,5,7.157452
run_20260913_212015,GRU,60min,6,4.408294
run_20260913_212015,GRU,60min,7,3.091296
run_20260913_212015,GRU,60min,8,7.806874
run_20260913_212015,STGCN,5min,1,5.520387
run_20260913_212015,STGCN,5min,2,4.468451
run_20260913_212015,STGCN,5min,3,2.715923
run_20260913_212015,STGCN,5min,4,3.690617
run_20260913_212015,STGCN,5min,5,3.660415
run_20260913_212015,STGCN,5min,6,3.516632
run_20260913_212015,STGCN,5min,7,2.33426
run_20260913_212015,STGCN,5min,8,3.103915
run_20260913_212015,STGCN,15min,1,7.44805
run_20260913_212015,STGCN,15min,2,6.056112
run_20260913_212015,STGCN,15min,3,3.248431
run_20260913_212015,STGCN,15min,4,5.378944
run_20260913_212015,STGCN,15min,5,4.898437
run_20260913_212015,STGCN,15min,6,4.415951
run_20260913_212015,STGCN,15min,7,2.724604
run_20260913_212015,STGCN,15min,8,4.187903
run_20260913_212015,STGCN,60min,1,13.236794
run_20260913_212015,STGCN,60min,2,11.597335
run_20260913_212015,STGCN,60min,3,5.108651
run_20260913_212015,STGCN,60min,4,11.482204
run_20260913_212015,STGCN,60min,5,8.028505
run_20260913_212015,STGCN,60min,6,6.663328
run_20260913_212015,STGCN,60min,7,3.791122
run_20260913_212015,STGCN,60min,8,6.781487
