camera_id,model,horizon_minutes,MAE,MSE,RMSE,R2
2701,persistence,10,11.961538,238.355769,15.438775,-0.663206
2701,persistence,30,12.096154,245.490385,15.668133,-0.693459
2701,persistence,120,14.283654,303.793269,17.429666,-1.068006
2701,seasonal_naive,10,13.264423,281.697115,16.783835,-0.965635
2701,seasonal_naive,30,13.451923,285.538462,16.897883,-0.969721
2701,seasonal_naive,120,13.326923,282.596154,16.810596,-0.923711
2702,persistence,10,8.153846,114.067308,10.68023,-0.716759
2702,persistence,30,7.605769,99.596154,9.979787,-0.501195
2702,persistence,120,8.475962,113.581731,10.657473,-0.679013
2702,seasonal_naive,10,8.225962,111.3125,10.550474,-0.675298
2702,seasonal_naive,30,8.3125,112.870192,10.624038,-0.701272
2702,seasonal_naive,120,8.4375,116.1875,10.779031,-0.717533
2704,persistence,10,5.485577,59.533654,7.715805,-0.0698
2704,persistence,30,4.711538,49.961538,7.068348,0.086528
2704,persistence,120,6.538462,82.365385,9.075538,-0.696865
2704,seasonal_naive,10,8.423077,127.701923,11.300528,-1.294762
2704,seasonal_naive,30,8.408654,127.485577,11.290951,-1.330882
2704,seasonal_naive,120,8.134615,122.625,11.073617,-1.526281
4703,persistence,10,9.629808,200.389423,14.155897,-0.023005
4703,persistence,30,9.923077,215.211538,14.67009,-0.09899
4703,persistence,120,13.072115,305.399038,17.47567,-0.588429
4703,seasonal_naive,10,12.980769,285.826923,16.906417,-0.459171
4703,seasonal_naive,30,13.221154,293.759615,17.139417,-0.5001
4703,seasonal_naive,120,13.125,292.0,17.088007,-0.518739
4712,persistence,10,2.923077,19.442308,4.409343,0.097318
4712,persistence,30,2.644231,17.634615,4.199359,0.181246
4712,persistence,120,3.721154,37.903846,6.15661,-0.791388
4712,seasonal_naive,10,4.899038,58.908654,7.675197,-1.735056
4712,seasonal_naive,30,4.923077,59.0,7.681146,-1.739297
4712,seasonal_naive,120,4.826923,57.980769,7.61451,-1.74025
4713,persistence,10,4.927885,51.975962,7.209436,-0.030814
4713,persistence,30,5.072115,56.456731,7.513769,-0.136382
4713,persistence,120,6.014423,66.649038,8.163886,-0.436271
4713,seasonal_naive,10,7.884615,107.596154,10.372857,-1.133902
4713,seasonal_naive,30,7.9375,108.004808,10.392536,-1.173961
4713,seasonal_naive,120,7.75,105.509615,10.271787,-1.273708
4798,persistence,10,2.764423,14.995192,3.872363,-0.507131
4798,persistence,30,2.461538,12.817308,3.580127,-0.28363
4798,persistence,120,2.923077,15.855769,3.98193,-0.630996
4798,seasonal_naive,10,2.519231,14.990385,3.871742,-0.506648
4798,seasonal_naive,30,2.514423,14.966346,3.868636,-0.498852
4798,seasonal_naive,120,2.413462,14.346154,3.787632,-0.47571
4799,persistence,10,3.9375,31.274038,5.59232,0.018555
4799,persistence,30,3.769231,27.528846,5.246794,0.123583
4799,persistence,120,4.677885,39.947115,6.320373,-0.278701
4799,seasonal_naive,10,4.129808,36.947115,6.078414,-0.159478
4799,seasonal_naive,30,4.057692,35.567308,5.963833,-0.132332
4799,seasonal_naive,120,3.927885,33.956731,5.82724,-0.08695
