run_id,model,horizon,camera_index,mae
run_20260923_203513,FNN,10min,1,10.285563
run_20260923_203513,FNN,10min,2,7.142062
run_20260923_203513,FNN,10min,3,4.521139
run_20260923_203513,FNN,10min,4,9.089973
run_20260923_203513,FNN,10min,5,2.543736
run_20260923_203513,FNN,10min,6,4.458206
run_20260923_203513,FNN,10min,7,2.445179
run_20260923_203513,FNN,10min,8,3.820164
run_20260923_203513,FNN,30min,1,11.196466
run_20260923_203513,FNN,30min,2,7.517719
run_20260923_203513,FNN,30min,3,4.613177
run_20260923_203513,FNN,30min,4,10.160543
run_20260923_203513,FNN,30min,5,2.636144
run_20260923_203513,FNN,30min,6,4.686507
run_20260923_203513,FNN,30min,7,2.41172
run_20260923_203513,FNN,30min,8,3.947158
run_20260923_203513,FNN,120min,1,11.947813
run_20260923_203513,FNN,120min,2,8.48399
run_20260923_203513,FNN,120min,3,4.851074
run_20260923_203513,FNN,120min,4,10.711054
run_20260923_203513,FNN,120min,5,3.034054
run_20260923_203513,FNN,120min,6,4.94282
run_20260923_203513,FNN,120min,7,2.537672
run_20260923_203513,FNN,120min,8,4.313591
run_20260923_203513,GRU,10min,1,9.760837
run_20260923_203513,GRU,10min,2,6.785312
run_20260923_203513,GRU,10min,3,4.753514
run_20260923_203513,GRU,10min,4,10.241068
run_20260923_203513,GRU,10min,5,4.799121
run_20260923_203513,GRU,10min,6,5.104574
run_20260923_203513,GRU,10min,7,3.116128
run_20260923_203513,GRU,10min,8,3.937442
run_20260923_203513,GRU,30min,1,9.952616
run_20260923_203513,GRU,30min,2,7.100472
run_20260923_203513,GRU,30min,3,4.619317
run_20260923_203513,GRU,30min,4,10.510218
run_20260923_203513,GRU,30min,5,4.418117
run_20260923_203513,GRU,30min,6,5.213236
run_20260923_203513,GRU,30min,7,2.866491
run_20260923_203513,GRU,30min,8,4.119193
run_20260923_203513,GRU,120min,1,10.132298
run_20260923_203513,GRU,120min,2,7.549645
run_20260923_203513,GRU,120min,3,4.251608
run_20260923_203513,GRU,120min,4,10.201568
run_20260923_203513,GRU,120min,5,3.966152
run_20260923_203513,GRU,120min,6,4.984434
run_20260923_203513,GRU,120min,7,2.659596
run_20260923_203513,GRU,120min,8,4.470665
run_20260923_203513,STGCN,10min,1,10.084164
run_20260923_203513,STGCN,10min,2,7.095662
run_20260923_203513,STGCN,10min,3,4.738119
run_20260923_203513,STGCN,10min,4,8.957395
run_20260923_203513,STGCN,10min,5,2.627794
run_20260923_203513,STGCN,10min,6,4.76928
run_20260923_203513,STGCN,10min,7,2.604995
run_20260923_203513,STGCN,10min,8,4.230797
run_20260923_203513,STGCN,30min,1,11.678825
run_20260923_203513,STGCN,30min,2,7.84629
run_20260923_203513,STGCN,30min,3,4.969612
run_20260923_203513,STGCN,30min,4,9.971274
run_20260923_203513,STGCN,30min,5,2.782071
run_20260923_203513,STGCN,30min,6,5.13136
run_20260923_203513,STGCN,30min,7,2.701078
run_20260923_203513,STGCN,30min,8,4.55516
run_20260923_203513,STGCN,120min,1,13.614425
run_20260923_203513,STGCN,120min,2,10.052016
run_20260923_203513,STGCN,120min,3,6.971562
run_20260923_203513,STGCN,120min,4,12.33341
run_20260923_203513,STGCN,120min,5,3.512055
run_20260923_203513,STGCN,120min,6,6.479562
run_20260923_203513,STGCN,120min,7,3.180041
run_20260923_203513,STGCN,120min,8,5.394493
