model,horizon_minutes,camera_id,label,MAE,RMSE,n
FNN,10,2701,congested,14.841019,16.248675,14
FNN,10,2701,free,7.974139,10.037004,115
FNN,10,2701,moderate,10.844156,12.863022,31
FNN,10,2702,congested,8.822763,10.037766,23
FNN,10,2702,free,5.59392,7.033986,88
FNN,10,2702,moderate,6.251519,7.543115,50
FNN,10,2704,congested,8.018963,9.525595,19
FNN,10,2704,free,3.230876,4.101005,100
FNN,10,2704,moderate,4.752176,5.497716,44
FNN,10,4703,congested,14.159701,16.422874,23
FNN,10,4703,free,6.473058,8.218048,84
FNN,10,4703,moderate,12.928358,15.495839,39
FNN,10,4712,congested,3.488016,5.023869,14
FNN,10,4712,free,2.24449,2.838516,112
FNN,10,4712,moderate,2.855334,4.212457,29
FNN,10,4713,congested,8.231427,9.47602,24
FNN,10,4713,free,3.231975,4.39861,80
FNN,10,4713,moderate,4.714237,5.65616,38
FNN,10,4798,congested,5.51845,6.017972,7
FNN,10,4798,free,2.268954,2.821569,51
FNN,10,4798,moderate,4.08558,4.970333,29
FNN,10,4799,congested,5.445374,6.330505,20
FNN,10,4799,free,3.676466,4.710485,55
FNN,10,4799,moderate,4.722172,5.757342,51
FNN,30,2701,congested,17.832772,18.823482,15
FNN,30,2701,free,9.412094,11.889517,114
FNN,30,2701,moderate,12.584203,15.076974,31
FNN,30,2702,congested,9.242948,10.24027,23
FNN,30,2702,free,6.318064,7.722199,88
FNN,30,2702,moderate,7.298405,8.700691,50
FNN,30,2704,congested,9.646596,11.575256,18
FNN,30,2704,free,3.457013,4.378084,101
FNN,30,2704,moderate,4.798315,5.965513,44
FNN,30,4703,congested,16.432024,18.319242,23
FNN,30,4703,free,7.324438,9.376979,83
FNN,30,4703,moderate,16.428977,18.951307,40
FNN,30,4712,congested,4.192901,6.122327,13
FNN,30,4712,free,2.300508,3.165914,112
FNN,30,4712,moderate,3.50321,5.218401,30
FNN,30,4713,congested,9.652077,10.94061,23
FNN,30,4713,free,3.600873,4.624535,81
FNN,30,4713,moderate,5.091315,6.668112,38
FNN,30,4798,congested,5.700827,6.202007,7
FNN,30,4798,free,2.296832,2.80048,50
FNN,30,4798,moderate,4.284518,5.125886,29
FNN,30,4799,congested,6.453197,7.310219,19
FNN,30,4799,free,3.937065,5.14107,55
FNN,30,4799,moderate,4.957516,5.938229,51
FNN,120,2701,congested,22.622601,23.661207,17
FNN,120,2701,free,10.679116,13.466272,113
FNN,120,2701,moderate,15.747116,18.506154,30
FNN,120,2702,congested,12.723859,13.536116,20
FNN,120,2702,free,7.407204,8.625369,89
FNN,120,2702,moderate,9.96694,11.216196,50
FNN,120,2704,congested,14.347577,18.08234,13
FNN,120,2704,free,3.648067,4.768845,105
FNN,120,2704,moderate,5.579796,7.685124,44
FNN,120,4703,congested,20.945706,24.261514,22
FNN,120,4703,free,7.958874,10.544596,83
FNN,120,4703,moderate,18.656546,21.756179,38
FNN,120,4712,congested,7.151146,10.552944,12
FNN,120,4712,free,2.412391,3.090084,111
FNN,120,4712,moderate,5.328001,8.117717,28
FNN,120,4713,congested,10.930977,12.199219,22
FNN,120,4713,free,3.715485,4.829523,82
FNN,120,4713,moderate,6.619265,8.329324,33
FNN,120,4798,congested,5.874137,6.027511,6
FNN,120,4798,free,2.616667,3.108104,48
FNN,120,4798,moderate,4.685445,5.421857,28
FNN,120,4799,congested,6.723404,7.722545,20
FNN,120,4799,free,4.228397,5.444395,56
FNN,120,4799,moderate,5.944913,6.834528,47
GRU,10,2701,congested,16.612169,17.434176,14
GRU,10,2701,free,7.226806,9.046796,115
GRU,10,2701,moderate,9.302886,11.507702,31
GRU,10,2702,congested,11.395148,12.366602,23
GRU,10,2702,free,4.248003,5.38232,88
GRU,10,2702,moderate,7.21111,8.604024,50
GRU,10,2704,congested,11.303608,13.613222,19
GRU,10,2704,free,2.941233,3.6155,100
GRU,10,2704,moderate,4.0629,6.108588,44
GRU,10,4703,congested,14.693708,16.46232,23
GRU,10,4703,free,8.366978,9.641312,84
GRU,10,4703,moderate,11.245562,13.441575,39
GRU,10,4712,congested,5.279911,7.564064,14
GRU,10,4712,free,4.133323,4.721324,112
GRU,10,4712,moderate,4.972962,6.331296,29
GRU,10,4713,congested,8.439307,9.276274,24
GRU,10,4713,free,3.029226,3.698149,80
GRU,10,4713,moderate,4.545166,5.413628,38
GRU,10,4798,congested,3.795565,4.314078,7
GRU,10,4798,free,2.185684,2.679569,51
GRU,10,4798,moderate,2.757468,3.538717,29
GRU,10,4799,congested,5.504734,6.332914,20
GRU,10,4799,free,3.313318,4.445324,55
GRU,10,4799,moderate,4.953316,5.755114,51
GRU,30,2701,congested,17.714687,18.360215,15
