model,horizon_minutes,label,MAE,RMSE,n
FNN,10,congested,8.907322,11.025373,144
FNN,10,free,4.531356,6.321177,685
FNN,10,moderate,6.377186,8.563352,311
FNN,30,congested,10.430331,12.599124,141
FNN,30,free,5.068367,7.183617,684
FNN,30,moderate,7.344939,10.084424,313
FNN,120,congested,13.502982,16.606746,132
FNN,120,free,5.595998,7.987021,687
FNN,120,moderate,9.071958,12.192921,298
GRU,10,congested,10.142419,12.169409,144
GRU,10,free,4.672743,6.175126,685
GRU,10,moderate,6.160152,8.182684,311
GRU,30,congested,10.88187,12.972663,141
GRU,30,free,4.717568,6.227505,684
GRU,30,moderate,6.526122,8.565323,313
GRU,120,congested,12.30992,14.869902,132
GRU,120,free,4.83339,6.713542,687
GRU,120,moderate,7.299864,9.513847,298
STGCN,10,congested,8.03001,10.248249,144
STGCN,10,free,4.866076,6.424851,685
STGCN,10,moderate,6.122866,8.224131,311
STGCN,30,congested,8.623993,11.007076,141
STGCN,30,free,5.720733,7.649196,684
STGCN,30,moderate,7.079405,9.696132,313
STGCN,120,congested,9.565234,12.305363,132
STGCN,120,free,7.620516,9.989046,687
STGCN,120,moderate,8.650847,11.596289,298
